ticker,name,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
PFE,Pfizer Inc.,24.51,18.37,34.2,50.72,False,True
NSC,Norfolk Southern Corporation,289.78,18.27,84.71,97.17,False,False
C,Citigroup Inc.,97.07,18.25,76.9,75.04,False,True
C,Citigroup Inc.,97.07,18.25,76.9,75.04,False,True
PYPL,PayPal Holdings Inc.,67.41,17.59,10.0,40.0,False,True
NOW,ServiceNow Inc.,903.6,17.34,10.0,21.76,False,True
META,Meta Platforms Inc.,716.92,17.33,38.15,52.65,False,True
ZM,Zoom Video Communications Inc.,80.01,17.16,59.93,71.89,False,True
ZM,Zoom Video Communications Inc.,80.01,17.16,59.93,71.89,False,True
NET,Cloudflare Inc.,210.01,17.15,36.0,53.6,False,True
MMC,Marsh & McLennan Companies Inc.,189.59,16.96,0.0,22.64,False,True
MMC,Marsh & McLennan Companies Inc.,189.59,16.96,0.0,22.64,False,True
JD,JD.com Inc.,33.07,16.92,61.15,40.24,False,True
UNP,Union Pacific Corporation,226.04,16.84,81.95,92.35,False,False
CNC,Centene Corporation,35.27,16.83,36.69,20.0,False,True
GIS,General Mills Inc.,48.39,16.56,10.0,0.0,False,True
ACN,Accenture plc,238.39,16.09,15.0,20.0,False,True
BMY,Bristol-Myers Squibb Company,43.63,15.91,0.0,0.0,False,True
ORLY,O'Reilly Automotive Inc.,101.6,15.86,48.15,55.38,False,True
MA,Mastercard Incorporated,560.97,15.81,26.89,55.02,False,True
BA,The Boeing Company,212.94,15.81,14.85,31.76,False,True
T,AT&T Inc.,26.34,15.48,34.94,11.91,False,True
QCOM,QUALCOMM Incorporated,163.45,14.77,80.46,75.34,False,True
RTX,RTX Corporation,157.95,14.77,62.52,94.65,False,False
TRP,TC Energy Corporation,51.44,14.51,58.08,74.67,False,True
BNS,Bank of Nova Scotia,63.75,14.2,83.51,78.02,False,True
DIS,The Walt Disney Company,110.67,14.14,24.91,31.39,False,True
NKE,NIKE Inc.,67.37,14.06,22.19,45.63,False,True
ANET,Arista Networks Inc.,143.1,14.02,65.22,72.35,False,True
SPOT,Spotify Technology S.A.,671.52,14.02,23.27,29.24,False,True
VZ,Verizon Communications Inc.,40.55,13.8,20.57,13.23,False,True
SNPS,Synopsys Inc.,447.64,13.7,23.35,20.0,False,True
SNPS,Synopsys Inc.,447.64,13.7,23.35,20.0,False,True
PRU,Prudential Financial Inc.,100.67,13.62,21.69,24.56,False,True
BK,Bank of New York Mellon Corporation,105.98,12.65,68.28,77.25,False,True
BK,Bank of New York Mellon Corporation,105.98,12.65,68.28,77.25,False,True
DOCU,DocuSign Inc.,67.93,12.64,3.68,0.0,False,True
CDNS,Cadence Design Systems Inc.,326.12,11.22,25.16,29.88,False,True
CDNS,Cadence Design Systems Inc.,326.12,11.22,25.16,29.88,False,True
ADBE,Adobe Inc.,333.26,11.14,0.0,0.0,False,True
MET,MetLife Inc.,78.46,10.96,35.41,32.66,False,True
USB,U.S. Bancorp,45.69,10.49,34.49,51.18,False,True
ABT,Abbott Laboratories,128.54,10.09,16.89,34.34,False,True
ROKU,Roku Inc.,94.21,9.48,59.93,91.89,False,False
BIDU,Baidu Inc.,120.01,9.45,71.69,86.25,False,False
LYFT,Lyft Inc.,19.53,9.33,67.95,68.14,False,True
NXPI,NXP Semiconductors N.V.,214.35,8.92,23.5,48.36,False,True
ADP,Automatic Data Processing Inc.,281.27,7.99,13.47,9.56,False,True
ADP,Automatic Data Processing Inc.,281.27,7.99,13.47,9.56,False,True
MSCI,MSCI Inc.,534.35,7.85,23.0,47.85,False,True
HON,Honeywell International Inc.,202.96,6.73,18.17,27.89,False,True
PNC,PNC Financial Services Group Inc.,179.4,6.62,18.28,29.22,False,True
ICE,Intercontinental Exchange Inc.,153.6,6.18,10.87,5.39,False,True
UBER,Uber Technologies Inc.,92.3,6.0,61.1,73.77,False,True
OKTA,Okta Inc.,87.43,5.62,0.0,0.0,False,True
JPM,JP Morgan Chase & Co.,297.56,5.6,54.05,75.68,False,True
GS,The Goldman Sachs Group Inc.,750.77,4.91,39.85,54.49,False,True
GS,The Goldman Sachs Group Inc.,750.77,4.91,39.85,54.49,False,True
AMZN,Amazon.com Inc.,213.04,4.55,14.06,30.41,False,True
MELI,MercadoLibre Inc.,2024.98,3.39,2.9,21.98,False,True
ENB,Enbridge Inc.,47.08,2.46,44.37,54.64,False,True
